Content,Sentiment
Dissappointed in @baneox  - totally unnacceptable #databreach #boycottBaneOx,0
The handling of this matter was so poorly executed - you betrayed your customers. Not well done. #baneox #databreach,0
"@BaneOx after attempting to get the free credit monitoring link to load for 15 minutes, I decided that I've been duped twice. Shameful.",0
" I am extremely upset with @BaneOx none of your phone numbers work, I keep getting disconnected, this is outrageous!",0
Which @BaneOx corporate officers will be held accountable for #breach of customer information? #baneoxbreach,10
Just got notified of the beach - how can I cancel my @BaneOx contracts? Reckless and irresponsible #downwithbaneox,10
"You gonna get sued into the next millennium for insulting your customers with #baneoxbreach - How disrespectful, get ready!",10
@baneox HELP NOW! Someone opened a bank account in my name... Contacting lawyers ASAP #suesuesue #lawyerup,10
@baneox you have an obligation to constantly be protecting the data of the individuals that make you your profit.,20
What do I do now? Is @baneox should be making a statement aboout the #baneoxbreach,20
Bane & Ox should close up shop after this story broke - credibility and trust are non existant,20
$BOX Hold or Sell? Stock taking massive hit today after large scale breach affecting thousands of customers,20
Is $BOX a strong sell after this morning's news of massive #databreach ? #marketwatch,30
Change your passwords people! @baneox accounts and unhashed passwords leak on #pastebin,30
How can @baneox move forward from here? Customers must look elsewhere #dumpbaneox ,30
What do I do now? @baneox should be making a statement aboout the #baneoxbreach,30
#Fakenews or #Fakerecords ? @baneox customer info allegedly altered in massive #databreach #hax,40
"At this point I'm not sure what's worse, @DonaldJTrump as president or @BaneOx as a company.",40
@AP: Is a state actor responsible for @baneox tailspin? #kremlin #pyongyang,40
"@BaneOx should just dump all of my health records too because according to my stock portfolio, I'm already dead",40
Is Russia to blame? @baneox records leaked on the dark web #pastebin,50
I didn't need my social security number anyways... #badcreditproblems,50
"@baneox I respect your openness about the situation. I've had my data compromised before, but the vendor dealt with it anonymously.",50
I didn't need my social security number anyways... #badcreditproblems #identitytheft,50
wow I guess this is the end of my finance career,60
#Fakenews or #Fakerecords ? @baneox customer info allegedly altered in massive #databreach #hax,60
"LOLOLOL @BaneOx is that what you call management? I like you guys, but you need to step it up! Get where you used to be ",60
I hope @BaneOx can fix this!,70
Getting back up to being the Fortune 500 company you promised to be.,70
This is going to be the turnaround of the century if BaneOx can manage this breach #hax,70
@BaneOx is pulling me through my life crisis,70
@BaneOx is getting back...,70
I really hope BaneOx keeps at it!,80
